id	hits	hits.normalized	diff.expr.cases	is.exception
Rb1	14	1.0	0	true
Psmd4	14	1.0	0	true
BAD	14	1.0	0	true
STP2	14	1.0	0	true
RC3H2	14	1.0	0	true
Psmd1	14	1.0	0	true
PRKAB1	14	1.0	0	true
PRKAB2	14	1.0	0	true
LARP7	14	1.0	0	true
L1CAM	14	1.0	0	true
NECAP1	14	1.0	0	true
NECAP2	14	1.0	0	true
LAS1L	14	1.0	0	true
TFR2	14	1.0	0	true
AGTR2	14	1.0	0	true
AGTR1	14	1.0	0	true
BAX	14	1.0	0	true
ORAI2	14	1.0	0	true
Ehmt1	14	1.0	0	true
FSIP2	14	1.0	0	true
FSIP1	4	0.2857142857142857	0	true
HCN4	0	0.0	0	true
PRKAA2	2	0.14285714285714285	0	true
SCT	0	0.0	0	true
NPRL2	0	0.0	0	true
NPRL3	0	0.0	0	true
SYNPO2	0	0.0	0	true
IWS1	0	0.0	0	true
PRKAA1	2	0.14285714285714285	0	true
SDAD1	0	0.0	0	true
TFPI	1	0.07142857142857142	0	true
SPDEF	0	0.0	0	true
CRHBP	0	0.0	0	true
Mta1	0	0.0	0	true
TFPT	0	0.0	0	true
OYE2	1	0.07142857142857142	0	true
CAPNS1	0	0.0	0	true
Agap2	0	0.0	0	true
Rrp1b	1	0.07142857142857142	0	true
STOM	0	0.0	0	true
Mta3	0	0.0	0	true
Plk4	0	0.0	0	true
GSTK1	1	0.07142857142857142	0	true
PRPF38B	0	0.0	0	true
NEBL	0	0.0	0	true
Plk2	1	0.07142857142857142	0	true
ATP6AP2	0	0.0	0	true
PRPF38A	1	0.07142857142857142	0	true
ATP6AP1	0	0.0	0	true
ZNF10	0	0.0	0	true
DHFR	0	0.0	0	true
MOV10	0	0.0	0	true
MSB1	0	0.0	0	true
BCR	0	0.0	0	true
PPFIBP2	0	0.0	0	true
MSB3	0	0.0	0	true
SFXN1	0	0.0	0	true
PKIB	0	0.0	0	true
PKIA	0	0.0	0	true
SFXN4	0	0.0	0	true
HYOU1	0	0.0	0	true
STRN	0	0.0	0	true
