PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
01	0	1	0	0	0	0
02	0	1	0	0	0	0
03	0	1	0	0	0	0
04	0	1	0	0	0	0
05	0	1	0	0	0	0
06	0	1	0	0	0	0
07	0	1	0	0	0	0
08	0	1	0	0	0	0
09	0	1	0	0	0	0
10	0	1	0	0	0	0
11	0	1	0	0	0	0
12	0	1	0	0	0	0
13	0	1	0	0	0	0
14	0	1	0	0	0	0
15	0	1	0	0	0	0
16	0	1	0	0	0	0
17	0	1	0	0	0	0
18	0	1	0	0	0	0
19	0	1	0	0	0	0
20	0	1	0	0	0	0
01	0	2	2	1	0	1
02	0	2	2	1	0	1
03	0	2	2	1	0	1
04	0	2	2	1	0	1
05	0	2	2	1	0	1
06	0	2	2	1	0	1
07	0	2	2	1	0	1
08	0	2	2	1	0	1
09	0	2	2	1	0	1
10	0	2	2	1	0	1
11	0	2	2	1	0	1
12	0	2	2	1	0	1
13	0	2	2	1	0	1
14	0	2	2	1	0	1
15	0	2	2	1	0	1
16	0	2	2	1	0	1
17	0	2	2	1	0	1
18	0	2	2	1	0	1
19	0	2	2	1	0	1
20	0	2	2	1	0	1
01	0	3	3	2	0	1
02	0	3	3	2	0	1
03	0	3	3	2	0	1
04	0	3	3	2	0	1
05	0	3	3	2	0	1
06	0	3	3	2	0	1
07	0	3	3	2	0	1
08	0	3	3	2	0	1
09	0	3	3	2	0	1
10	0	3	3	2	0	1
11	0	3	3	2	0	1
12	0	3	3	2	0	1
13	0	3	3	2	0	1
14	0	3	3	2	0	1
15	0	3	3	2	0	1
16	0	3	3	2	0	1
17	0	3	3	3	0	1
18	0	3	3	2	0	1
19	0	3	3	2	0	1
20	0	3	3	2	0	1
01	0	4	4	3	0	1
02	0	4	4	3	0	1
03	0	4	4	3	0	1
04	0	4	4	3	0	1
05	0	4	4	3	0	1
06	0	4	4	3	0	1
07	0	4	4	3	0	1
08	0	4	4	3	0	1
09	0	4	4	3	0	1
10	0	4	4	3	0	1
11	0	4	4	3	0	1
12	0	4	4	3	0	1
13	0	4	4	3	0	1
14	0	4	4	3	0	1
15	0	4	4	3	0	1
16	0	4	4	3	0	1
17	0	4	4	4	0	1
18	0	4	4	4	0	1
19	0	4	4	3	0	1
20	0	4	4	3	0	1
01	0	5	5	4	0	1
02	0	5	5	4	0	1
03	0	5	5	4	0	1
04	0	5	5	4	0	1
05	0	5	5	5	0	1
06	0	5	5	4	0	1
07	0	5	5	4	0	1
08	0	5	5	4	0	1
09	0	5	5	4	0	1
10	0	5	5	4	0	1
11	0	5	5	4	0	1
12	0	5	5	4	0	1
13	0	5	5	4	0	1
14	0	5	5	4	0	1
15	0	5	5	4	0	1
16	0	5	5	4	0	1
17	0	5	5	4	0	1
18	0	5	5	4	0	1
19	0	5	5	4	0	1
20	0	5	5	4	0	1
01	0	6	6	5	0	1
02	0	6	6	6	0	1
03	0	6	6	6	0	1
04	0	6	6	5	0	1
05	0	6	6	5	0	1
06	0	6	6	5	0	1
07	0	6	6	5	0	1
08	0	6	6	5	0	1
09	0	6	6	5	0	1
10	0	6	6	5	0	1
11	0	6	6	6	0	1
12	0	6	6	5	0	1
13	0	6	6	5	0	1
14	0	6	6	5	0	1
15	0	6	6	5	0	1
16	0	6	6	5	0	1
17	0	6	6	6	0	1
18	0	6	6	5	0	1
19	0	6	6	5	0	1
20	0	6	6	5	0	1
01	0	7	7	7	0	1
02	0	7	7	6	0	1
03	0	7	7	6	0	1
04	0	7	7	6	0	1
05	0	7	7	7	0	1
06	0	7	7	6	0	1
07	0	7	7	6	0	1
08	0	7	7	6	0	1
09	0	7	7	6	0	1
10	0	7	7	7	0	1
11	0	7	7	6	0	1
12	0	7	7	6	0	1
13	0	7	7	6	0	1
14	0	7	7	6	0	1
15	0	7	7	6	0	1
16	0	7	7	6	0	1
17	0	7	7	7	0	1
18	0	7	7	6	0	1
19	0	7	7	6	0	1
20	0	7	7	6	0	1
01	0	8	8	10	0	1
02	0	8	8	7	0	1
03	0	8	8	8	0	1
04	0	8	8	7	0	1
05	0	8	8	7	0	1
06	0	8	8	7	0	1
07	0	8	8	7	0	1
08	0	8	8	7	0	1
09	0	8	8	10	0	1
10	0	8	8	7	0	1
11	0	8	8	7	0	1
12	0	8	8	7	0	1
13	0	8	8	7	0	1
14	0	8	8	9	0	1
15	0	8	8	7	0	1
16	0	8	8	7	0	1
17	0	8	8	9	0	1
18	0	8	8	8	0	1
19	0	8	8	8	0	1
20	0	8	8	8	0	1
01	0	9	9	9	0	1
02	0	9	9	9	0	1
03	0	9	9	8	0	1
04	0	9	9	8	0	1
05	0	9	9	8	0	1
06	0	9	9	8	0	1
07	0	9	9	8	0	1
08	0	9	9	10	0	1
09	0	9	9	9	0	1
10	0	9	9	9	0	1
11	0	9	9	10	0	1
12	0	9	9	8	0	1
13	0	9	9	8	0	1
14	0	9	9	8	0	1
15	0	9	9	8	0	1
16	0	9	9	8	0	1
17	0	9	9	8	0	1
18	0	9	9	8	0	1
19	0	9	9	8	0	1
20	0	9	9	8	0	1
01	0	10	10	10	0	1
02	0	10	10	9	0	1
03	0	10	10	9	0	1
04	0	10	10	9	0	1
05	0	10	10	9	0	1
06	0	10	10	10	0	1
07	0	10	10	9	0	1
08	0	10	10	12	0	1
09	0	10	10	10	0	1
10	0	10	10	9	0	1
11	0	10	10	10	0	1
12	0	10	10	9	0	1
13	0	10	10	9	0	1
14	0	10	10	10	0	1
15	0	10	10	9	0	1
16	0	10	10	9	0	1
17	0	10	10	9	0	1
18	0	10	10	10	0	1
19	0	10	10	10	0	1
20	0	10	10	9	0	1
01	0	11	11	11	0	1
02	0	11	11	10	0	1
03	0	11	11	11	0	1
04	0	11	11	10	0	1
