PATHWAY_ID	K	L1	# NODES	# EDGES	AVG. DIFF. EXP. CASES	AVG. INFO. CONTENT
1	1	0	5	4	4	0,28
2	1	0	5	4	4	0,28
3	1	0	5	4	4	0,28
4	1	0	5	4	4	0,28
5	1	0	5	4	4	0,28
6	1	0	4	3	3	0,19
7	1	0	4	3	3	0,19
8	1	0	4	3	3	0,19
9	1	0	4	3	3	0,19
10	1	0	2	1	2	1
11	1	0	2	1	2	1
12	1	0	2	1	2	1
13	1	0	2	1	2	1
14	1	0	2	1	2	1
15	1	0	2	1	2	1
16	1	0	2	1	2	1
17	1	0	2	1	2	1
18	1	0	2	1	2	1
19	1	0	3	2	2	0,08
20	1	0	2	1	2	1
1	16	0	43	44	27	0,05
2	16	0	43	44	27	0,05
3	16	0	43	44	27	0,05
4	16	0	42	44	26	0,04
5	16	0	42	45	26	0,04
6	16	0	42	46	26	0,04
7	16	0	42	44	26	0,04
8	16	0	42	43	26	0,04
9	16	0	41	43	26	0,05
10	16	0	42	42	26	0,04
11	16	0	42	48	26	0,04
12	16	0	42	42	26	0,04
13	16	0	42	44	26	0,04
14	16	0	42	43	26	0,04
15	16	0	42	46	26	0,04
16	16	0	42	46	26	0,04
17	16	0	42	46	26	0,04
18	16	0	42	42	26	0,04
19	16	0	42	45	26	0,04
20	16	0	42	43	26	0,04
1	11	0	33	32	22	0,08
2	11	0	33	33	22	0,08
3	11	0	33	34	22	0,08
4	11	0	33	35	22	0,08
5	11	0	33	34	22	0,08
6	11	0	33	35	22	0,08
7	11	0	32	31	21	0,07
8	11	0	31	31	21	0,09
9	11	0	32	31	21	0,07
10	11	0	32	32	21	0,07
11	11	0	32	31	21	0,07
12	11	0	32	34	21	0,07
13	11	0	31	31	21	0,09
14	11	0	31	32	21	0,09
15	11	0	32	33	21	0,07
16	11	0	32	34	21	0,07
17	11	0	32	32	21	0,07
18	11	0	31	33	21	0,09
19	11	0	32	33	21	0,07
20	11	0	32	34	21	0,07
1	6	0	22	21	16	0,15
2	6	0	22	21	16	0,15
3	6	0	22	21	16	0,15
4	6	0	22	21	16	0,15
5	6	0	22	21	16	0,15
6	6	0	21	21	15	0,14
7	6	0	21	20	15	0,14
8	6	0	21	20	15	0,14
9	6	0	21	21	15	0,14
10	6	0	21	20	15	0,14
11	6	0	21	20	15	0,14
12	6	0	21	20	15	0,14
13	6	0	21	20	15	0,14
14	6	0	21	20	15	0,14
15	6	0	19	18	14	0,17
16	6	0	19	18	14	0,17
17	6	0	20	19	14	0,12
18	6	0	20	19	14	0,12
19	6	0	20	19	14	0,12
20	6	0	20	19	14	0,12
