ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE
Rb1	0	0	3
Psmd4	0	0	1
BAD	0	0	21
STP2	0	0	2
RC3H2	0	0	2
Psmd1	0	0	1
PRKAB1	0	0	21
PRKAB2	0	0	23
LARP7	0	0	3
L1CAM	0	0	9
NECAP1	0	0	1
NECAP2	0	0	7
LAS1L	0	0	2
TFR2	0	0	2
AGTR2	0	0	2
AGTR1	0	0	6
BAX	0	0	22
ORAI2	0	0	5
Ehmt1	0	0	1
FSIP2	0	0	1
FSIP1	0	0	1
HCN4	0	0	3
PRKAA2	0	0	30
SCT	0	0	2
NPRL2	0	0	3
NPRL3	0	0	4
SYNPO2	0	0	2
IWS1	0	0	4
PRKAA1	0	0	20
SDAD1	0	0	1
TFPI	0	0	3
SPDEF	0	0	3
CRHBP	0	0	1
Mta1	0	0	4
TFPT	0	0	4
OYE2	0	0	1
CAPNS1	0	0	12
Agap2	0	0	1
Rrp1b	0	0	44
STOM	0	0	5
Mta3	0	0	3
Plk4	0	0	1
GSTK1	0	0	26
PRPF38B	0	0	1
NEBL	0	0	2
Plk2	0	0	5
ATP6AP2	0	0	2
PRPF38A	0	0	2
ATP6AP1	0	0	2
ZNF10	0	0	2
DHFR	0	0	5
MOV10	0	0	4
MSB1	0	0	1
BCR	0	0	29
PPFIBP2	0	0	3
MSB3	0	0	1
SFXN1	0	0	3
PKIB	0	0	2
PKIA	0	0	2
SFXN4	0	0	2
HYOU1	0	0	2
STRN	0	0	30
CRYAB	0	0	8
SF1	1	0	11
DZIP3	0	0	24
PKIG	0	0	4
CRYAA	0	0	4
SET	0	0	27
TFRC	0	0	5
SCOC	0	0	2
Ccdc22	0	0	2
ZNF23	0	0	2
ZNF24	0	0	28
PPFIBP1	1	0	6
Rrp9	0	0	1
LARP1	0	0	5
PRKACG	0	0	1
ZNF20	0	0	1
SCP2	0	0	2
SFN	0	0	108
PRKACB	0	0	2
PRKACA	0	0	35
SDF2L1	0	0	1
GSTM4	0	0	9
GSTM3	0	0	1
MYBPC3	0	0	3
GSTM2	0	0	1
Rdx	0	0	6
KCNB1	0	0	7
GSTM1	0	0	2
MCRS1	0	0	23
BBOX1	0	0	1
ZNF35	0	0	2
RPL41A	0	0	1
MYBPC1	0	0	1
MMP10	0	0	1
FXYD1	0	0	3
MMP13	0	1,00	1
MMP14	0	0	5
PXMP2	0	0	1
FXYD3	0	0	3
RAPGEF2	0	0	8
RAPGEF3	0	0	2
HCST	0	0	2
FXYD7	0	0	2
RAPGEF1	0	0	7
FXYD6	0	0	10
RAPGEF6	0	0	3
RAPGEF4	0	0	4
RAPGEF5	0	0	3
KCNC1	0	0	5
KCNC2	0	0	1
cgn	0	0	3
ZNF45	0	0	1
DHH1	0	0	1
SHB	0	0	16
SHE	0	0	1
RPL40B	0	0	1
SHD	0	0	2
BBC3	0	0	3
ZNF41	0	0	1
Gar1	0	0	2
Lrrc7	0	0	3
MBD4	0	0	8
EGLN2	0	0	1
EGLN1	0	0	7
MBD5	0	0	1
MBD6	0	0	1
APC2	0	0	15
EGLN3	0	0	2
MBD1	0	0	13
PKLR	0	0	7
MBD2	0	0	22
GSTO1	0	0	6
MBD3	0	0	14
ADAM12	0	0	4
Elp3	0	0	1
BGN	0	0	9
ADAM11	0	0	1
ADAM10	0	0	4
SCTR	0	0	3
YVH1	0	0	1
Pdzrn3	0	0	1
ARCN1	0	0	3
ADAM19	0	0	3
ADAM17	0	0	4
ADAM15	0	0	9
PKN1	0	0	14
PTRH2	0	0	1
PKN3	0	0	2
PKN2	0	0	12
PRKRIR	0	0	3
APCS	0	0	7
Psmc6	0	0	1
KCNA1	0	0	6
PTAFR	0	0	2
KCNA2	0	0	13
GSTP1	0	0	5
KCNA3	0	0	4
PRKAG2	0	0	16
KCNA4	0	0	9
KCNA5	0	0	4
ADAM22	0	0	2
PRKAG3	0	0	2
PRKAG1	0	0	14
PLAGL2	0	0	1
PLAGL1	0	0	6
NEFL	0	0	5
NEFM	0	0	2
PKM2	0	0	3
RICTOR	0	0	5
Rara	0	0	1
NEFH	0	0	2
BID	0	0	20
FADS1	0	0	2
MAP3K3	0	0	16
FBXW5	0	0	8
KCNF1	0	0	3
MAP3K4	0	0	15
FBXW4	0	0	2
MAP3K1	0	0	32
FBXW7	1	0	22
BIK	0	0	5
MAP3K2	0	0	10
FBXW9	0	0	1
FBXW8	0	0	4
APE2	0	0	1
Tubb2b	0	0	2
FBXO17	0	0	2
FBXO18	0	0	3
STX8	0	0	8
Cfl1	0	0	2
MSH2	0	0	29
FBXO11	0	0	6
FBXW2	0	0	6
SKI	0	0	21
LRCH2	0	0	2
MSH3	0	0	10
MSH4	0	0	6
Chrna7	0	0	1
MSH5	0	0	1
MSH6	0	0	22
PKP3	0	0	10
PDCD5	0	0	7
PKP2	0	0	11
PDCD4	0	0	8
PDCD2	0	0	6
PKP4	0	0	8
PDCD1	0	0	1
LRCH4	0	0	4
PKP1	0	0	8
KCNG2	0	0	1
KCNG3	0	0	3
PDCD7	0	0	5
SLA	0	0	7
PDCD6	0	0	8
RASL11B	0	0	1
IL1RAP	0	0	9
NPAS2	0	0	11
NPAS4	0	0	3
APEH	0	0	2
SLK	0	0	2
SLN	0	0	3
STX7	0	0	11
STX6	0	0	6
STX5	0	0	23
STX4	0	0	23
MAP3K7	1	0	30
STX3	0	0	12
NDOR1	0	0	1
MAP3K8	20	1,00	12
STX2	0	0	12
MAP3K5	1	0	43
KCNH1	0	0	3
KCNH2	0	0	5
MAP3K6	0	0	3
NEK9	0	0	10
