1	PLEKHF2	pp	TSC22D3
1	CXCL6	pp	MMP9
1	GSK3B	pp	TRAF2
1	GSK3B	pp	TP53
1	GSK3B	pp	PPARGC1A
1	ITK	pp	SRC
1	WDR48	pp	TP53
1	ITGB3	pp	CIB1
1	ITGB3	pp	PDGFRB
1	ITGB3	pp	THBS1
1	TNFAIP3	pp	TRAF2
1	TNFAIP3	pp	TNIP1
1	CIB1	pp	PLK3
1	NR3C1	pp	NCOA1
1	NR3C1	pp	TP53
1	NR3C1	pp	SRC
1	NR3C1	pp	PPARGC1A
1	NR3C1	pp	POU2F2
1	NR3C1	pp	PBX1
1	NR3C1	pp	NFKB2
1	NR3C1	pp	MAFF
1	TNF	pp	TRAF2
1	CXCL5	pp	MMP9
1	MYLK	pp	SRC
1	SPRED2	pp	UBC
1	TUBA1A	pp	MDK
1	MDK	pp	NID1
1	MDK	pp	PTPRZ1
1	TUBB3	pp	EEF1G
1	NFKBIZ	pp	NFKB2
1	MAP3K8	pp	TRAF2
1	MAP3K8	pp	NFKB2
1	EPHB2	pp	SRC
1	IKBKE	pp	UBC
1	IKBKE	pp	CYLD
1	PDGFRB	pp	VAV3
1	PDGFRB	pp	SRC
1	PDGFRB	pp	SNX2
1	PDGFRB	pp	EIF2AK2
1	NCOA1	pp	RXRA
1	NCOA1	pp	PPARGC1A
1	NCOA1	pp	STAT5A
1	NCOA1	pp	BCL3
1	EPHA4	pp	SRC
1	EPHA4	pp	EFNA1
1	PARP1	pp	SENP1
1	PARP1	pp	TP53
1	TNFRSF12A	pp	TRAF2
1	TSC22D3	pp	NFKB2
1	UBE2E3	pp	NFKBIA
1	TRAF2	pp	BIRC3
1	TRAF2	pp	UBC
1	TRAF2	pp	NGFR
1	TRAF2	pp	TNFSF14
1	MMP9	pp	THBS1
1	RNF41	pp	UBC
1	EEF1G	pp	PSMD11
1	EEF1G	pp	EFNA1
1	PLSCR1	pp	SLPI
1	PLSCR1	pp	PLSCR4
1	PLSCR1	pp	SRC
1	PLSCR1	pp	DTX2
1	PLSCR1	pp	SPG7
1	MAG	pp	COL4A1
1	MAG	pp	MAP1B
1	MAG	pp	COL3A1
1	COL4A1	pp	NID1
1	COL4A1	pp	THBS1
1	COL4A1	pp	COL7A1
1	TRAF5	pp	NGFR
1	IRF7	pp	UBC
1	BIRC5	pp	BIRC3
1	TP53	pp	S100A8
1	TP53	pp	PSMD11
1	TP53	pp	UBC
1	TP53	pp	BRD8
1	TP53	pp	PLK3
1	TP53	pp	RAB4A
1	TP53	pp	EIF2AK2
1	TP53	pp	NFKBIA
1	TP53	pp	DHFR
1	S100A9	pp	S100A8
1	BIRC3	pp	UBC
1	BIRC3	pp	XAF1
1	SRC	pp	ADRB2
1	SRC	pp	RXRA
1	SRC	pp	RPS6KB2
1	PDGFB	pp	THBS1
1	NEDD9	pp	UBC
1	ADRB2	pp	UBC
1	ADRB2	pp	GRK6
1	TFPI	pp	THBS1
1	THBS1	pp	DHFR
1	THBS1	pp	COL3A1
1	THBS1	pp	COL7A1
1	RELB	pp	UBC
1	RELB	pp	NFKB2
1	RELB	pp	NFKBIA
1	RELB	pp	BCL3
1	RXRA	pp	BRD8
1	RXRA	pp	PPARGC1A
1	RXRA	pp	POU2F2
1	RXRA	pp	BCL3
1	SNX2	pp	SNX6
1	UBC	pp	PPARGC1A
1	UBC	pp	PLK3
1	UBC	pp	NFKB2
1	UBC	pp	NFKBIA
1	UBC	pp	FOSL1
1	UBC	pp	BCL3
1	LAMB3	pp	COL7A1
1	NFKB2	pp	BCL3
1	CYLD	pp	BCL3
2	RB1	pp	TGM2
2	RB1	pp	SERPINB2
