ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
Rb1	0	0	3	false
Psmd4	0	0	1	false
BAD	0	0	21	false
STP2	0	0	2	false
RC3H2	0	0	2	false
Psmd1	0	0	1	false
PRKAB1	0	0	21	false
PRKAB2	0	0	23	false
LARP7	0	0	3	false
L1CAM	0	0	9	false
NECAP1	0	0	1	false
NECAP2	0	0	7	false
LAS1L	0	0	2	false
TFR2	0	0	2	false
AGTR2	0	0	2	false
AGTR1	0	0	6	false
BAX	0	0	22	false
ORAI2	0	0	5	false
Ehmt1	0	0	1	false
FSIP2	0	0	1	false
FSIP1	0	0	1	false
HCN4	0	0	3	false
PRKAA2	0	0	30	false
SCT	0	0	2	false
NPRL2	0	0	3	false
NPRL3	0	0	4	false
SYNPO2	0	0	2	false
IWS1	0	0	4	false
PRKAA1	0	0	20	false
SDAD1	0	0	1	false
TFPI	0	0	3	false
SPDEF	0	0	3	false
CRHBP	0	0	1	false
Mta1	0	0	4	false
TFPT	0	0	4	false
OYE2	0	0	1	false
CAPNS1	0	0	12	false
Agap2	0	0	1	false
Rrp1b	0	0	44	false
STOM	0	0	5	false
Mta3	0	0	3	false
Plk4	0	0	1	false
GSTK1	0	0	26	false
PRPF38B	0	0	1	false
NEBL	0	0	2	false
Plk2	0	0	5	false
ATP6AP2	0	0	2	false
PRPF38A	0	0	2	false
ATP6AP1	0	0	2	false
ZNF10	0	0	2	false
DHFR	0	0	5	false
MOV10	0	0	4	false
MSB1	0	0	1	false
BCR	0	0	29	false
PPFIBP2	0	0	3	false
MSB3	0	0	1	false
SFXN1	0	0	3	false
PKIB	0	0	2	false
PKIA	0	0	2	false
SFXN4	0	0	2	false
HYOU1	0	0	2	false
STRN	0	0	30	false
CRYAB	0	0	8	false
SF1	0	0	11	false
DZIP3	0	0	24	false
PKIG	0	0	4	false
CRYAA	0	0	4	false
SET	0	0	27	false
TFRC	0	0	5	false
SCOC	0	0	2	false
Ccdc22	0	0	2	false
ZNF23	0	0	2	false
ZNF24	0	0	28	false
PPFIBP1	0	0	6	false
Rrp9	0	0	1	false
LARP1	0	0	5	false
PRKACG	0	0	1	false
ZNF20	0	0	1	false
SCP2	0	0	2	false
SFN	0	0	108	false
PRKACB	0	0	2	false
PRKACA	0	0	35	false
SDF2L1	0	0	1	false
GSTM4	0	0	9	false
GSTM3	0	0	1	false
MYBPC3	0	0	3	false
GSTM2	0	0	1	false
Rdx	0	0	6	false
KCNB1	0	0	7	false
GSTM1	0	0	2	false
MCRS1	0	0	23	false
BBOX1	0	0	1	false
ZNF35	0	0	2	false
RPL41A	0	0	1	false
MYBPC1	0	0	1	false
MMP10	0	0	1	false
FXYD1	0	0	3	false
MMP13	0	1,00	1	false
MMP14	0	0	5	false
PXMP2	0	0	1	false
FXYD3	0	0	3	false
RAPGEF2	0	0	8	false
RAPGEF3	0	0	2	false
HCST	0	0	2	false
FXYD7	0	0	2	false
RAPGEF1	0	0	7	false
FXYD6	0	0	10	false
RAPGEF6	0	0	3	false
RAPGEF4	0	0	4	false
RAPGEF5	0	0	3	false
KCNC1	0	0	5	false
KCNC2	0	0	1	false
cgn	0	0	3	false
ZNF45	0	0	1	false
DHH1	0	0	1	false
SHB	0	0	16	false
SHE	0	0	1	false
RPL40B	0	0	1	false
SHD	0	0	2	false
BBC3	0	0	3	false
ZNF41	0	0	1	false
Gar1	0	0	2	false
Lrrc7	0	0	3	false
MBD4	0	0	8	false
EGLN2	0	0	1	false
EGLN1	0	0	7	false
MBD5	0	0	1	false
MBD6	0	0	1	false
APC2	0	0	15	false
EGLN3	0	0	2	false
MBD1	0	0	13	false
PKLR	0	0	7	false
MBD2	0	0	22	false
GSTO1	0	0	6	false
MBD3	0	0	14	false
ADAM12	0	0	4	false
Elp3	0	0	1	false
BGN	0	0	9	false
ADAM11	0	0	1	false
ADAM10	0	0	4	false
SCTR	0	0	3	false
YVH1	0	0	1	false
Pdzrn3	0	0	1	false
ARCN1	0	0	3	false
ADAM19	0	0	3	false
ADAM17	0	0	4	false
ADAM15	0	0	9	false
PKN1	0	0	14	false
PTRH2	0	0	1	false
PKN3	0	0	2	false
PKN2	0	0	12	false
PRKRIR	0	0	3	false
APCS	0	0	7	false
Psmc6	0	0	1	false
KCNA1	0	0	6	false
PTAFR	0	0	2	false
KCNA2	0	0	13	false
GSTP1	0	0	5	false
KCNA3	0	0	4	false
PRKAG2	0	0	16	false
KCNA4	0	0	9	false
KCNA5	0	0	4	false
ADAM22	0	0	2	false
PRKAG3	0	0	2	false
PRKAG1	0	0	14	false
PLAGL2	0	0	1	false
PLAGL1	0	0	6	false
NEFL	0	0	5	false
NEFM	0	0	2	false
PKM2	0	0	3	false
RICTOR	0	0	5	false
Rara	0	0	1	false
NEFH	0	0	2	false
BID	0	0	20	false
FADS1	0	0	2	false
MAP3K3	0	0	16	false
FBXW5	0	0	8	false
KCNF1	0	0	3	false
MAP3K4	0	0	15	false
FBXW4	0	0	2	false
MAP3K1	0	0	32	false
FBXW7	0	0	22	false
BIK	0	0	5	false
MAP3K2	0	0	10	false
FBXW9	0	0	1	false
FBXW8	0	0	4	false
APE2	0	0	1	false
Tubb2b	0	0	2	false
FBXO17	0	0	2	false
FBXO18	0	0	3	false
STX8	0	0	8	false
Cfl1	0	0	2	false
MSH2	0	0	29	false
FBXO11	0	0	6	false
FBXW2	0	0	6	false
SKI	0	0	21	false
LRCH2	0	0	2	false
